"","Year","SITC","sitc_sdesc","Country","ExportsFASValueBasisJan","GenImportsCustomsValBasisJan","GenImportsCIFValBasisJan","ExportsFASValueBasisFeb","GenImportsCustomsValBasisFeb","GenImportsCIFValBasisFeb","ExportsFASValueBasisMar","GenImportsCustomsValBasisMar","GenImportsCIFValBasisMar","ExportsFASValueBasisApr","GenImportsCustomsValBasisApr","GenImportsCIFValBasisApr","ExportsFASValueBasisMay","GenImportsCustomsValBasisMay","GenImportsCIFValBasisMay","ExportsFASValueBasisJun","GenImportsCustomsValBasisJun","GenImportsCIFValBasisJun","ExportsFASValueBasisJul","GenImportsCustomsValBasisJul","GenImportsCIFValBasisJul","ExportsFASValueBasisAug","GenImportsCustomsValBasisAug","GenImportsCIFValBasisAug","ExportsFASValueBasisSep","GenImportsCustomsValBasisSep","GenImportsCIFValBasisSep","ExportsFASValueBasisOct","GenImportsCustomsValBasisOct","GenImportsCIFValBasisOct","ExportsFASValueBasisNov","GenImportsCustomsValBasisNov","GenImportsCIFValBasisNov","ExportsFASValueBasisDec","GenImportsCustomsValBasisDec","GenImportsCIFValBasisDec","ExportsFASValueBasisYtdDec","GenImportsCustomsValBasisYtdDec","GenImportsCIFValBasisYtdDec","CTY_CODE"
"30","1996","741","HEATING & COOLING EQUIPMENT","Russia",3198440,0,0,1695775,6992,7436,864341,233545,236494,3959605,43500,44622,1387152,225000,228313,1371420,17980,20160,1223128,11270,12723,9646859,160843,170109,4999419,106043,106862,4177326,0,0,1396653,117352,119177,7465022,190955,203820,41385140,1113480,1149716,"4621"
"31","1996","037","FISH, CRUSTACEANS AND MOLLUSCS","Trinidad and Tobago",48796,0,0,4950,0,0,17058,0,0,0,0,0,44735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34257,0,0,0,0,0,76095,0,0,225891,0,0,"2740"
"32","1996","841","MEN'S OR BOY'S COATS, JACKETS ETC, NOT KNIT","Malta",0,10077,10220,0,122919,128540,2591,30245,30824,14213,82792,85989,5900,6156,6386,0,0,0,4000,4016,4111,0,2829,2887,0,384,395,6475,25855,27336,0,2559,2749,0,13861,14659,33179,301693,314096,"4730"
"33","1996","342","LIQUEFIED PROPANE AND BUTANE","Dominican Republic",0,0,0,0,0,0,0,0,0,517263,0,0,0,0,0,346773,0,0,315188,0,0,1313685,0,0,1365302,0,0,519805,0,0,80532,0,0,0,0,0,4458548,0,0,"2470"
"34","1996","042","RICE","Nicaragua",1735706,0,0,2946256,0,0,0,0,0,2784000,0,0,1200948,0,0,0,0,0,1958601,0,0,0,0,0,8000,0,0,3381122,0,0,1791736,0,0,1764273,0,0,17570642,0,0,"2190"
"35","1996","728","MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES","Samoa",0,0,0,18000,0,0,0,0,0,31107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49107,0,0,"6150"
"36","1996","821","FURNITURE & BEDDING ACCESSORIES","Japan",17654778,13336715,13668643,27060524,11343130,11657519,21589428,12223295,12588516,21331060,11994681,12436480,24031042,8994934,9305746,28365026,8314790,8575105,23540622,9790610,10189915,24693718,8671050,9084413,22963905,9293409,9722513,30943495,9577968,9925169,24001238,8210350,8513005,22565088,7190248,7486120,288739924,118941180,123153144,"5880"
"37","1996","593","EXPLOSIVES AND PYROTECHNIC PRODUCTS","China",22285,13110403,15270122,414706,11114453,12974388,141276,6814742,7969411,67697,9521623,11031123,53786,14655658,17009735,32527,8186776,9436809,449022,3043776,3475322,64090,867336,970508,3771,2501089,2817978,155324,4236778,4861442,22961,8153039,9298437,74307,10650978,12307298,1501752,92856651,107422573,"5700"
"38","1996","575","PLASTICS","Senegal",0,0,0,17078,0,0,32380,0,0,203110,0,0,0,0,0,0,0,0,0,0,0,5327,0,0,0,0,0,10905,0,0,0,0,0,0,0,0,268800,0,0,"7440"
"39","1996","274","SULFUR AND UNROASTED IRON PYRITES","Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,119600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119600,0,0,"4210"
"40","1996","891","ARMS AND AMMUNITION","New Zealand",131253,0,0,1794673,0,0,233115,0,0,388423,0,0,420919,0,0,246673,50111,54179,120269,0,0,380608,0,0,1448563,0,0,203684,4225,4524,366166,0,0,222914,0,0,5957260,54336,58703,"6141"
"41","1996","245","FUEL WOOD  & WOOD CHARCOAL","St Helena",0,0,0,0,0,0,0,0,0,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,0,0,"7580"
"42","1996","747","TAPS, COCKS, VALVES & SIMILAR APPLIANCES","Trinidad and Tobago",113483,0,0,280065,0,0,162988,0,0,287576,0,0,269112,0,0,235492,0,0,431375,0,0,149576,0,0,222431,0,0,517875,0,0,278280,0,0,539352,0,0,3487605,0,0,"2740"
"43","1996","042","RICE","Colombia",17709,0,0,76511,0,0,90192,0,0,6927466,0,0,97786,0,0,43298,0,0,19488,0,0,16289,0,0,0,0,0,8384,0,0,3920,0,0,61062,0,0,7362105,0,0,"3010"
"44","1996","651","TEXTILE YARN","Korea, South",3842274,5067809,5318705,4142572,2922719,3082334,4347889,4074326,4278284,5372598,5452510,5758271,6137946,6719027,7095818,4810066,7534695,7927977,4220506,5697723,5999875,5862794,4959705,5255044,5092454,6209914,6547097,5502735,7600057,8050389,4172269,6271468,6622629,4640565,7232382,7607956,58144668,69742335,73544379,"5800"
"45","1996","662","CLAY AND REFRACTORY CONSTRUCTION MATERIALS","French Guiana",0,0,0,15260,0,0,0,0,0,22616,0,0,0,0,0,5925,0,0,0,0,0,0,0,0,0,0,0,4272,0,0,0,0,0,0,0,0,48073,0,0,"3170"
"46","1996","898","MUSICAL INSTRUMENTS AND ACCESSORIES","Andorra",36383,0,0,16857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,0,6888,0,0,8368,0,0,4752,0,0,0,0,0,80007,0,0,"4271"
"47","1996","034","FISH, FRESH","Qatar",0,0,0,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14717,0,0,"5180"
"48","1996","334","OIL (NOT CRUDE)","Algeria",3416,135159513,144506055,13068,111325446,120229507,0,127901281,137683902,0,137831240,149271781,21743,203546440,220529993,2965,139555885,151728349,0,153216559,165766085,12107,143636001,154395993,7524,106705541,113897902,11796,138272219,145653504,32202,140761917,149495003,0,172027488,182107609,104821,1709939530,1835265683,"7210"
"49","1996","782","SPECIAL PURPOSE MOTOR VEHICLES","Colombia",2980933,0,0,4302609,0,0,4438525,0,0,4834421,0,0,18579978,0,0,5813747,0,0,9467885,0,0,3789099,0,0,15681361,0,0,4167703,0,0,4520030,0,0,2139718,0,0,80716009,0,0,"3010"
"50","1996","591","INSECTICIDES, DISINFECTANTS","Guatemala",1012592,932939,948927,1452167,47030,49851,1495690,51557,54650,1131694,53288,56485,1357457,53191,56382,1392806,57909,61383,1263232,56249,59623,1058451,73418,77822,677640,0,0,427918,57909,61382,435508,82481,86132,834132,0,0,12539287,1465971,1512637,"2050"
"51","1996","727","FOOD-PROCESSING MACHINES (EXCLUDING DOMESTIC)","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,"4751"
"52","1996","695","TOOLS FOR USE IN THE HAND OR IN MACHINES","Costa Rica",222807,3984,4162,174484,6434,6884,281894,12761,13745,292242,23502,24719,209482,10194,10526,222642,12436,14076,286781,12255,13280,429058,9200,9514,246801,4187,4471,460465,47220,51695,229255,10503,12338,284126,16246,17471,3340037,168922,182881,"2230"
"53","1996","763","SOUND RECORDERS AND TV RECORDERS","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14560,14816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14560,14816,"7420"
"54","1996","686","ZINC","India",0,0,0,0,0,0,12500,4455,7290,0,0,0,4627,0,0,0,0,0,17807,0,0,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37728,4455,7290,"5330"
"55","1996","593","EXPLOSIVES AND PYROTECHNIC PRODUCTS","Sweden",155232,839320,928925,352799,0,0,26135,791403,821653,56564,724083,748749,31815,1149102,1172355,34017,411069,425501,67833,1918602,1935580,44272,61020,61021,208004,541162,552765,12376,1259960,1294221,24821,521788,529835,219557,875682,890445,1233425,9093191,9361050,"4010"
"56","1996","663","MINERAL MANUFACTURES","Guadeloupe",0,0,0,8268,0,0,10742,0,0,13824,0,0,16460,0,0,0,0,0,2640,0,0,0,0,0,3065,0,0,27316,0,0,0,0,0,0,0,0,82315,0,0,"2831"
"57","1996","735","PARTS & ACCESS FOR METAL WORK MACHINE TOOLS","Finland",548686,138748,144362,615675,167488,174679,392757,272484,283276,412646,171818,174528,367426,122743,134276,368368,107140,120080,243364,119279,131946,196586,199758,214563,369392,125020,137066,444979,159696,172137,516098,200186,218099,420535,229574,236024,4896512,2013934,2141036,"4050"
"58","1996","673","IRON & NONALLOY STEEL FLAT-ROLL PRODUCTS","Latvia",0,0,0,0,0,0,0,0,0,0,1385537,1636444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385537,1636444,"4490"
"59","1996","231","NATURAL RUBBER IN PRIMARY FORM","Ecuador",18299,0,0,3494,0,0,17500,0,0,40421,0,0,373911,0,0,294603,0,0,12718,0,0,22748,0,0,0,0,0,144173,0,0,169646,0,0,0,0,0,1097513,0,0,"3310"
"60","1996","287","ORES & CONCENTRATES OF BASE METALS","Hong Kong",438750,0,0,89407,0,0,335605,0,0,313820,0,0,1139303,0,0,6860,0,0,150661,0,0,131202,1280,1305,303003,0,0,428687,0,0,144644,0,0,127685,0,0,3609627,1280,1305,"5820"
"61","1996","741","HEATING & COOLING EQUIPMENT","Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10691,0,0,0,0,0,0,0,0,10691,0,0,"4720"
"62","1996","885","WATCHES AND CLOCKS","Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,349,0,0,0,0,0,0,0,480,503,0,0,0,3100,0,0,4500,0,0,7600,792,852,"4850"
"63","1996","894","TOYS AND SPORTING GOODS","Sri Lanka",68960,2903068,3141690,51486,1913176,2059024,286448,2309638,2493866,73619,2528543,2723092,109183,2408400,2621997,76251,2872713,3145913,307691,4389498,4747412,73887,4303154,4743707,29157,4587384,5264276,231684,3260828,3674358,26207,2019930,2240652,66259,1828950,1965632,1400832,35325282,38821619,"5420"
"64","1996","542","MEDICAMENTS (INCLUDING VETERINARY MEDICAMENTS)","Brunei",8102,0,0,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11042,0,0,"5610"
"65","1996","747","TAPS, COCKS, VALVES & SIMILAR APPLIANCES","Finland",125399,2024290,2111636,314314,2470778,2521392,283753,2170435,2264128,813698,1961025,2019900,205903,1780924,1830304,237410,1331011,1367088,147650,1998239,2041596,530988,1390901,1429564,203608,1528368,1558076,175292,1855575,1886427,67082,1312453,1353258,140358,1314927,1345963,3245455,21138926,21729332,"4050"
"66","1996","883","CINEMA FILM, INCLUDING SOUND TRACK","China",0,18800,19361,3034,25700,26894,0,23280,25945,0,1500,1688,0,3791,4147,3000,88868,89386,3700,396740,399475,0,197650,198510,0,164000,164752,0,96000,96640,0,234850,237198,0,135300,136465,9734,1386479,1400461,"5700"
"67","1996","651","TEXTILE YARN","Paraguay",26917,0,0,0,0,0,188978,0,0,66891,0,0,0,0,0,14808,0,0,0,0,0,5633,0,0,13347,0,0,83466,0,0,78986,0,0,5574,0,0,484600,0,0,"3530"
"68","1996","783","ROAD MOTOR VEHICLES","Poland",0,0,0,0,0,0,10000,0,0,0,0,0,34368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42800,0,0,0,0,0,87168,0,0,"4550"
"69","1996","659","FLOOR COVERINGS","Grenada",4229,0,0,0,0,0,3204,0,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,26375,0,0,0,0,0,0,0,0,40208,0,0,"2489"
"70","1996","625","RUBBER TIRES AND ACCESSORIES","Estonia",0,0,0,0,0,0,0,0,0,35441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35441,0,0,"4470"
"71","1996","743","PUMPS, AIR OR OTHER GAS COMPRESSORS AND FANS","Fiji",97315,0,0,0,0,0,0,0,0,16556,0,0,46751,0,0,0,0,0,19153,0,0,0,0,0,6295,0,0,12860,0,0,0,0,0,12600,0,0,211530,0,0,"6863"
"72","1996","541","MEDICINAL PRODUCTS, EXCEPT MEDICAMENTS","Micronesia",0,0,0,80000,0,0,8928,0,0,14074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60900,0,0,163902,0,0,"6820"
"73","1996","743","PUMPS, AIR OR OTHER GAS COMPRESSORS AND FANS","Belarus",0,0,0,50000,0,0,0,0,0,22210,0,0,4000,0,0,247235,1629,2679,66400,0,0,0,0,0,6976,0,0,70000,1294,1331,0,0,0,5009,0,0,471830,2923,4010,"4622"
"74","1996","045","CEREALS, EXCEPT WHEAT, RICE, BARLEY, MAIZE","Japan",31491535,0,0,24088126,0,0,35396908,0,0,9725070,0,0,12085054,0,0,8724767,1923,2067,8838777,0,0,24428097,0,0,24069802,0,0,24846422,0,0,37651573,0,0,32598425,0,0,273944556,1923,2067,"5880"
"75","1996","871","OPTICAL INSTRUMENTS AND APPARATUS","Ireland",126837,0,0,22674,1683,1757,210258,53772,53981,104241,0,0,100188,0,0,106854,1755,1812,76799,32040,32470,555716,3998,4241,59022,0,0,248103,0,0,46763,0,0,234938,1432,1444,1892393,94680,95705,"4190"
"76","1996","672","IRON OR STEEL & SEMIFINISH PRODUCTS","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,443950,492507,0,0,0,8639,0,0,2884,0,0,98852,0,0,113775,443950,492507,"2440"
"77","1996","671","PIG IRON AND IRON & STEEL POWDER","Costa Rica",0,0,0,9890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18247,0,0,24033,0,0,0,0,0,9157,0,0,0,0,0,0,0,0,61327,0,0,"2230"
"78","1996","684","ALUMINUM","Grenada",0,0,0,13400,0,0,13833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24967,0,0,3384,0,0,0,0,0,55584,0,0,"2489"
"79","1996","673","IRON & NONALLOY STEEL FLAT-ROLL PRODUCTS","Taiwan",3392472,367963,392510,11483880,423576,447446,11993450,423076,447077,211416,402847,451132,52340,374752,392959,65499,623821,663859,26038,313909,340284,60408,578070,617300,119313,574483,631709,65085,460207,511743,36566,473992,507581,62660,1029151,1123254,27569127,6045847,6526854,"5830"
"80","1996","762","RADIOBROADCAST RECEIVERS","Canada",36828183,410538,412508,39614342,500170,501914,37673697,421979,425579,39943505,346857,348831,39779449,377005,378524,33373203,394691,396631,21671370,434022,436406,31179813,895065,904216,35321135,470844,473510,23286885,358080,359365,33586321,702722,707551,26667897,369102,373046,398925800,5681075,5718081,"1220"
"81","1996","731","MACHINE TOOLS WORKING BY REMOVING METAL OR OTHER","Costa Rica",22575,0,0,142406,0,0,112678,2000,2290,559992,0,0,411550,0,0,484294,0,0,238618,0,0,100415,26136,26721,34552,0,0,144828,0,0,49038,0,0,206906,0,0,2507852,28136,29011,"2230"
"82","1996","741","HEATING & COOLING EQUIPMENT","Rwanda",0,0,0,0,0,0,0,0,0,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,0,0,"7690"
"83","1996","771","ELECTRIC POWER MACHINERY, AND PARTS","Vietnam",253877,0,0,0,28500,29155,12280,41439,41662,13000,14554,15282,29832,0,0,19238,0,0,0,1776,2241,3284,3969,5326,7545,4755,6555,80237,3613,4734,0,0,0,0,0,0,419293,98606,104955,"5520"
"84","1996","841","MEN'S OR BOY'S COATS, JACKETS ETC, NOT KNIT","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,"4631"
"85","1996","663","MINERAL MANUFACTURES","Congo (Kinshasa)",0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,8651,10468,0,0,0,7100,0,0,0,0,0,0,0,0,0,0,0,0,16378,23961,24100,25029,34429,"7660"
