"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belarus","BLR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15634.4580078125","14315.5947265625","13401.6484375","11991.6923828125","10883.01953125","11306.5439453125","12751.51953125","13978.23046875","14616.111328125","15393.361328125","16068.8583984375","16828.234375","17962.08203125","19967.357421875","21765.328125","23910.802734375","25898.318359375","28459.62109375","28487.34765625","30673.37109375","32408.12109375","32980.109375","33351.61328125","33969.73828125","32779.5859375","32111.521484375","32299.888671875",
"Belize","BLZ","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17268.03125","19563.326171875","21457.7265625","21281.544921875","21012.962890625","20649.115234375","20057.12109375","20106.5390625","20436.46875","21535.845703125","21246.85546875","21632.80859375","22735.771484375","22874.283203125","22713.703125","22242.4921875","21237.677734375","20861.091796875","21154.203125","21015.294921875","20592.28125","20611.322265625","19547.96875","19487.806640625","18707.12109375","18371.908203125","18379.03125",
"Bermuda","BMU","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10335.6396484375","10206.734375","10335.607421875","10183.52734375","10405.5712890625","10585.7041015625","10325.8349609375","10656.57421875","10636.8291015625","10711.3212890625","10680.458984375","10664.0732421875","10677.3583984375","10708.869140625","11027.119140625","11215.076171875","11391.1240234375","11487.4404296875","11619.3369140625","12178.25390625","12140.46484375","12367.3173828125","12933.65234375","13361.9638671875","13696.0947265625","13921.0537109375","14162.013671875",
"Brazil","BRA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26047.98828125","24833.06640625","25282.314453125","25838.49609375","26082.564453125","27173.951171875","27259.080078125","27709.0546875","26883.244140625","27293.82421875","26888.28125","26974.40234375","26899.6875","27353.7578125","26947.125","27698.20703125","28859.69921875","29346.2734375","28870.744140625","30652.478515625","31632.984375","31687.20703125","32267.81640625","31630.8671875","30588.736328125","30230.375","30335.31640625",
"Barbados","BRB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29732.4921875","29594.166015625","30434.6875","29602.716796875","28517.001953125","28073.83203125","29185.365234375","29267.70703125","28578.017578125","29340.408203125","28484.15234375","29092.798828125","29701.05078125","29281.455078125","30092.65234375","31561.4296875","31552.1796875","31854.92578125","31185.0546875","31553.09375","31741.357421875","32339.08203125","32186.64453125","32506.763671875","32517.630859375","33073.00390625","33634.671875",
"Brunei Darussalam","BRN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188765.328125","191008.765625","184826.6875","183742.265625","184407.0625","183250.734375","174096.65625","166667.796875","165207.03125","163481.078125","163715.453125","166052.90625","166779.796875","163567.59375","160238.1875","164165.75","160938.828125","154258.453125","148141.3125","148771.859375","151240.625","150680.75","146539.59375","141793.734375","138970.015625","137803.703125","141234.265625",
"Bhutan","BTN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6514.67822265625","6955.15478515625","7263.47705078125","7664.23779296875","8220.7470703125","8507.5185546875","8849.220703125","8800.6337890625","9058.33984375","9218.1611328125","9308.138671875","9589.46875","9641.552734375","9683.091796875","9912.7412109375","10206.3505859375","11738.966796875","11986.1923828125","12524.7392578125","13775.9150390625","14764.5576171875","15514.25","15498.7900390625","15986.484375","16345.6826171875","16894.25390625","17585.029296875",
"Botswana","BWA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23877.568359375","24124.333984375","24149.943359375","25170.20703125","26062.75390625","26606.09765625","27448.486328125","26872.486328125","27696.119140625","26559.244140625","26828.998046875","28608.916015625","30264.548828125","29654.12109375","29561.4375","30160.83984375","31998.48046875","30952.7421875","28578.03515625","31091.1484375","32028.966796875","32651.119140625","34842.3359375","35377.66015625","34784.796875","35360.5859375","36116.24609375",
"Central African Republic","CAF","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2193.44995117188","1994.83996582031","1945.67504882813","1987.18603515625","2071.25610351563","1936.25500488281","1997.23999023438","2043.8330078125","2070.462890625","1970.53698730469","2026.95104980469","2065.78393554688","1915.88903808594","1997.96997070313","1977.51000976563","2010.74499511719","2060.02001953125","2054.3291015625","2042.36096191406","2055.7509765625","2073.48706054688","2107.93188476563","1298.34497070313","1284.78100585938","1313.96704101563","1350.67602539063","1389.63098144531",
"Canada","CAN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64155.58984375","65456.83203125","66889.953125","68555.8828125","69284.796875","69925.3671875","71403.3125","72487.0859375","74115.9375","76030.59375","76483.359375","76900.03125","76449.609375","77506.9453125","78923.0703125","79477.0390625","79073.6171875","78651.78125","77869.0078125","79464.8046875","80575.1328125","81119.3828125","81720.5078125","83139.7734375","83369.8125","83890.6796875","85023.8359375",
"Central Europe and the Baltics","CEB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27364.2885947535","26066.4842648672","26543.7222064262","27605.1207715535","28803.1929617779","30051.0769915699","30539.9471372955","31464.9915099056","32725.7042264858","34795.0770570645","36313.9615077753","38715.0950482769","40071.9064719612","42334.2970149344","44117.8843879671","45845.7631523251","47576.519775402","48600.7830669948","47707.8407233449","49280.8720415643","50979.1617558069","51156.77411902","51894.4077258869","52272.0330988366","53665.2762470975","54933.8561766366","56741.5048749784",
"Switzerland","CHE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82531.421875","82573.4140625","82568.359375","84066.78125","83698.8046875","83846.390625","86214.0859375","87147.953125","87818.578125","90900.34375","90801.4296875","90691.5","90887.890625","93428.1171875","95624.40625","97180.671875","99008.6171875","98745.7109375","95964.1484375","98396.0234375","98013.6640625","97815.578125","98303.4140625","98586.3046875","98429.6171875","98723.90625","99434.171875",
"Channel Islands","CHI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58790.37109375","59217.8828125","59500.65234375","61016.66015625","63098.7734375","64661.73828125","67014.7265625","69209.6171875","70990.0078125","74380.453125","72754.796875","70836.71875","67767.375","67120.0234375","67569.2109375","70381.0703125","74008.578125","73712.1171875","69805.15625","69966.7578125","70937.25","70070.203125","69715.453125","70667.2109375","72613.6640625","73857.1328125","75171.3515625",
"Chile","CHL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27218.685546875","29077.458984375","29871.50390625","31499.125","34424.953125","37271.72265625","38718.08984375","39237.1640625","39757.1328125","40914.640625","42029.4140625","42350.01171875","42578.5390625","43916.453125","44656.90234375","45118.9296875","45879.69140625","45832.43359375","45604.94140625","44619.1484375","45063.24609375","46483.21875","47292.1171875","47382.890625","47626.96875","47922.796875","48312.16015625",
"China","CHN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2991.09301757813","3347.10595703125","3751.09399414063","4183.69091796875","4602.18212890625","4987.81689453125","5394.23779296875","5780.2119140625","6164.0732421875","6599.10986328125","7093.31005859375","7666.81103515625","8355.3212890625","9123.240234375","10065.94140625","11267.587890625","12757.7783203125","13992.595703125","15208.9951171875","16773.458984375","18238.78515625","19547.25","20950.7109375","22392.908203125","23845.326171875","25369.06640625","26919.33984375",
